Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//series/94295/;Долгие версты войны;no eng title;1975;208;СССР;драма;Александр Карпов;Вадим Яковлев, Николай Федорцов;7,4;3460
https://www.kinopoisk.ru//film/44270/;Дом, в котором я живу;no eng title;1957;100;СССР;драма;Лев Кулиджанов;Валентина Телегина, Евгений Матвеев;8,1;19706
https://www.kinopoisk.ru//film/44291/;Дорогой мой человек;no eng title;1958;102;СССР;драма;Иосиф Хейфиц;Алексей Баталов, Инна Макарова;8,0;10730
https://www.kinopoisk.ru//film/45283/;Жаворонок;no eng title;1964;86;СССР;драма;Никита Курихин;Вячеслав Гуренков, Геннадий Юхтин;7,8;10985
https://www.kinopoisk.ru//film/45284/;Жажда;no eng title;1959;80;СССР;драма;Евгений Ташков;Юрий Белов, Борис Битюков;7,0;1584
https://www.kinopoisk.ru//film/45286/;Жди меня;no eng title;1943;90;СССР;драма;Борис Иванов;Борис Блинов, Валентина Серова;7,6;2172
https://www.kinopoisk.ru//film/400070/;Жду и надеюсь;no eng title;1980;129;СССР;военный;Сурен Шахбазян;Олег Меньшиков, Николай Скоробогатов;6,2;762
https://www.kinopoisk.ru//film/45311/;Женя, Женечка и «Катюша»;no eng title;1967;85;СССР;мелодрама;Владимир Мотыль;Олег Даль, Галина Фигловская;8,1;16634
https://www.kinopoisk.ru//film/45336/;Живые и мертвые;no eng title;1963;201;СССР;драма;Александр Столпер;Кирилл Лавров, Анатолий Папанов;8,3;20351
https://www.kinopoisk.ru//film/45321/;Жила-была девочка;no eng title;1944;74;СССР;драма;Виктор Эйсымонт;Нина Иванова, Наталья Защипина;8,0;4056
https://www.kinopoisk.ru//film/45244/;Завтра была война;no eng title;1987;89;СССР;драма;Юрий Кара;Сергей Никоненко, Нина Русланова;8,1;38107
https://www.kinopoisk.ru//film/45219/;Законный брак;no eng title;1985;93;СССР;драма;Альберт С. Мкртчян;Наталья Белохвостикова, Игорь Костолевский;7,7;2601
https://www.kinopoisk.ru//film/45409/;Звезда;no eng title;1949;98;СССР;драма;Александр Иванов;Анатолий Вербицкий, Николай Крючков;7,7;2698
https://www.kinopoisk.ru//film/41360/;Звезда;no eng title;2002;97;Россия;боевик;Николай Лебедев;Игорь Петренко, Алексей Панин;7,8;48125
https://www.kinopoisk.ru//film/45266/;Зеленые цепочки;no eng title;1970;98;СССР;приключения;Григорий Аронов;Игорь Урумбеков, Владимир Лелетко;7,3;4105
https://www.kinopoisk.ru//film/45354/;Зимнее утро;no eng title;1966;90;СССР;драма;Николай Лебедев;Татьяна Солдатенкова, Константин Корнаков;8,0;4133
https://www.kinopoisk.ru//film/45368/;Знак беды;no eng title;1986;151;СССР;драма;Михаил Пташук;Нина Русланова, Геннадий Гарбук;7,6;1260
https://www.kinopoisk.ru//film/45402/;Зося;no eng title;1967;68;СССР;драма;Михаил Богин;Юрий Каморный, Пола Ракса;7,2;1336
