Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/65770/;Воспоминания об убийстве;Salinui chueok;2003;131;Корея;детектив;Пон Джун-хо;Сон Кан-хо, Ким Сан-гён;7,7;106071
https://www.kinopoisk.ru//film/409/;Сияние;The Shining;1980;144;США;триллер;Стэнли Кубрик;Джек Николсон, Шелли Дювалл;7,8;247107
https://www.kinopoisk.ru//film/1411988/;После. Долго и счастливо;After Ever Happy;2022;95;США;мелодрама;Кастиль Лэндон;Джозефин Лэнгфорд, Хиро Файнс Тиффин;0;102822
https://www.kinopoisk.ru//film/1198811/;Вечные;Eternals;2021;156;США;фантастика;Хлоя Чжао;Джемма Чан, Ричард Мэдден;0;181934
https://www.kinopoisk.ru//film/909898/;Под покровом ночи;Nocturnal Animals;2016;116;США;триллер;Том Форд;Эми Адамс, Джейк Джилленхол;7,3;164083
https://www.kinopoisk.ru//film/2000122/;Здоровый человек;no eng title;2022;101;Россия;драма;Петр Тодоровский;Никита Ефремов, Ирина Старшенбаум;7,3;39381
https://www.kinopoisk.ru//film/5171040/;Голод;Hunger;2023;146;Таиланд;драма;Ситисири Монгколсири;Чутимон Чынгчаренсукйинг, Нопачай Чайянам;0;2441
https://www.kinopoisk.ru//film/5074908/;Микулай;no eng title;2023;110;Россия;триллер;Ильшат Рахимбай;Виктор Сухоруков, Иван Добронравов;7,4;859
https://www.kinopoisk.ru//film/4545782/;На пороге смерти;Viejos;2022;95;Испания;ужасы;Рауль Сересо;Сорион Эгилеор, Густаво Сальмерон;0;251
https://www.kinopoisk.ru//film/78871/;Сайлент Хилл;Silent Hill;2006;125;Канада;ужасы;Кристоф Ган;Рада Митчелл, Джоделль Ферланд;7,2;192972
https://www.kinopoisk.ru//film/1238292/;Я краснею;Turning Red;2022;100;США;мультфильм;Доми Ши;Розали Чян, Сандра О;7,1;89262
https://www.kinopoisk.ru//film/1990/;На гребне волны;Point Break;1991;117;Япония;боевик;Кэтрин Бигелоу;Патрик Суэйзи, Киану Ривз;7,8;134155
