Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/158786/;Жизнь Пи;Life of Pi;2012;127;США;фэнтези;Энг Ли;Сурадж Шарма, Ирфан Кхан;7,9;32884
https://www.kinopoisk.ru//film/8228/;Призрак в доспехах;Koukaku Kidoutai;1995;82;Япония;аниме;Мамору Осии;Ацуко Танака, Акио Оцука;7,9;7734
https://www.kinopoisk.ru//film/43332/;Проверка на дорогах;no eng title;1971;97;СССР;драма;Алексей Герман;Ролан Быков, Анатолий Солоницын;7,9;5378
https://www.kinopoisk.ru//film/88198/;Живая сталь;Real Steel;2011;127;США;фантастика;Шон Леви;Хью Джекман, Дакота Гойо;7,9;81588
https://www.kinopoisk.ru//film/41109/;Сёстры;no eng title;2001;83;Россия;драма;Сергей Бодров мл.;Оксана Акиньшина, Екатерина Горина;7,9;45401
https://www.kinopoisk.ru//film/1128826/;Пончары. Глобальное закругление;Extinct;2020;82;США;мультфильм;Дэвид Силверман;Адам Дивайн, Рэйчел Блум;7,9;27949
https://www.kinopoisk.ru//film/472/;Индиана Джонс и последний крестовый поход;Indiana Jones and the Last Crusade;1989;127;США;приключения;Стивен Спилберг;Харрисон Форд, Шон Коннери;7,9;15567
https://www.kinopoisk.ru//film/260101/;Ночь перед Рождеством;no eng title;1951;49;СССР;мультфильм;Валентина Брумберг;Владимир Грибков, Вера Марецкая;7,9;6754
https://www.kinopoisk.ru//film/255129/;Звездный путь;Star Trek;2009;127;США;фантастика;Джей Джей Абрамс;Крис Пайн, Закари Куинто;7,9;30530
https://www.kinopoisk.ru//film/42653/;Иван Бровкин на целине;no eng title;1958;97;СССР;комедия;Иван Лукинский;Леонид Харитонов, Татьяна Пельтцер;7,9;11126
https://www.kinopoisk.ru//film/980347/;Дыши ради нас;Breathe;2017;118;Великобритания;драма;Энди Серкис;Эндрю Гарфилд, Клэр Фой;7,9;13173
https://www.kinopoisk.ru//film/6039/;Маска;The Mask;1994;101;США;комедия;Чак Рассел;Джим Керри, Кэмерон Диас;7,9;103651
https://www.kinopoisk.ru//film/455194/;Пленницы;Prisoners;2013;153;США;триллер;Дени Вильнёв;Хью Джекман, Джейк Джилленхол;7,9;25067
https://www.kinopoisk.ru//film/232785/;Господин Никто;Mr. Nobody;2009;138;Бельгия;фантастика;Жако ван Дормель;Джаред Лето, Сара Полли;7,9;38859
https://www.kinopoisk.ru//film/41242/;Классик;no eng title;1998;101;Россия;боевик;Георгий Шенгелия;Сергей Никоненко, Юозас Будрайтис;7,9;22378
https://www.kinopoisk.ru//film/45533/;Чук и Гек;no eng title;1953;48;СССР;драма;Иван Лукинский;Юра Чучунов, Андрей Чиликин;7,9;9503
https://www.kinopoisk.ru//film/1146303/;Митчеллы против машин;The Mitchells vs the Machines;2020;114;США;мультфильм;Майкл Рианда;Эбби Джейкобсон, Дэнни Макбрайд;7,9;11746
https://www.kinopoisk.ru//film/280172/;Как приручить дракона;How to Train Your Dragon;2010;98;США;мультфильм;Дин ДеБлуа;Джей Барушель, Джерард Батлер;8,6;91995
https://www.kinopoisk.ru//film/387556/;Хатико: Самый верный друг;Hachi: A Dog's Tale;2008;89;США;драма;Лассе Халльстрём;Ричард Гир, Джоан Аллен;8,6;56472
https://www.kinopoisk.ru//film/42736/;Офицеры;no eng title;1971;91;СССР;драма;Владимир Роговой;Георгий Юматов, Василий Лановой;8,5;37155
https://www.kinopoisk.ru//film/43869/;Служебный роман;no eng title;1977;159;СССР;мелодрама;Эльдар Рязанов;Андрей Мягков, Алиса Фрейндлих;8,5;110001
https://www.kinopoisk.ru//film/389/;Леон;Lon;1994;133;Франция;боевик;Люк Бессон;Жан Рено, Натали Портман;8,5;56362
https://www.kinopoisk.ru//film/41519/;Брат;no eng title;1997;100;Россия;драма;Алексей Балабанов;Сергей Бодров мл., Виктор Сухоруков;8,5;214885
https://www.kinopoisk.ru//film/5273/;Шрэк 2;Shrek 2;2004;93;США;мультфильм;Эндрю Адамсон;Майк Майерс, Эдди Мерфи;8,5;114240
https://www.kinopoisk.ru//film/649917/;По соображениям совести;Hacksaw Ridge;2016;139;Австралия;биография;Мэл Гибсон;Эндрю Гарфилд, Сэм Уортингтон;8,5;109629
https://www.kinopoisk.ru//film/522/;Карты, деньги, два ствола;Lock, Stock and Two Smoking Barrels;1998;107;Великобритания;боевик;Гай Ричи;Джейсон Флеминг, Декстер Флетчер;8,5;39167
https://www.kinopoisk.ru//film/573759/;Остров сокровищ;no eng title;1988;107;СССР;мультфильм;Давид Черкасский;Владимир Заднепровский, Евгений Паперный;8,5;46054
https://www.kinopoisk.ru//film/381/;Жизнь прекрасна;La vita  bella;1997;116;Италия;военный;Роберто Бениньи;Роберто Бениньи, Николетта Браски;8,5;16471
